empresa_raw,channel_code,n_estadias
PROMO FACEBOOK,DIRECTO,5
COL. DE ODONTOLOGOS,UNKNOWN,5
ANTIPODE SRL,EMPRESA,5
COE,UNKNOWN,5
KOICA,UNKNOWN,5
EMB. VENEZUELA,UNKNOWN,5
TULIP AGENCIA,AGENCIA,5
OPAL,UNKNOWN,5
BNB,UNKNOWN,5
SOCIEDAD DE PSIQUIATRIA,UNKNOWN,5
AGENTE 5,UNKNOWN,5
CLUB FUTBOL,UNKNOWN,5
CARA PINTADA,UNKNOWN,5
BANCO SOL,EMPRESA,5
AMIGOS DE BOLIVIA,REFERIDO,5
PABLITO HC,UNKNOWN,5
POLICIA BOLIVIANA,UNKNOWN,5
SIB,UNKNOWN,5
ONG ORE,EMPRESA,5
GRUPO BETICO Y SU MAQUINA,UNKNOWN,5
GRUPO 2K,UNKNOWN,5
EMBAJADA DE CHILE,UNKNOWN,5
DESCUBRE S.T,UNKNOWN,5
USFX BIOQUIMICA,UNKNOWN,5
TECNOLOGIA,UNKNOWN,5
OXFAM,UNKNOWN,4
AFP FUTURO,UNKNOWN,4
UNIVERSAL TOURS,AGENCIA,4
PARTICUALR,UNKNOWN,4
DEPÓSITO,NOISE,4
PATOLOGÍA,UNKNOWN,4
TENNIS,UNKNOWN,4
MISS CHUQUISACA,UNKNOWN,4
TOP TOURS,AGENCIA,4
TORICO TOURS,AGENCIA,4
CATALEYA TOURS,AGENCIA,4
CIOF,UNKNOWN,4
UNIVERSIDAD,EMPRESA,4
LAB. IFA,UNKNOWN,4
VALORIZA,UNKNOWN,4
VICTOR KATTAN,UNKNOWN,4
SOC. DE PATOLOGIA,UNKNOWN,4
FAC. DE TECNOLOGIA,UNKNOWN,4
CAPITAL PLAZA,UNKNOWN,4
DELAPAZ,UNKNOWN,4
DESCUBRE TURISMO,AGENCIA,4
TRAUMATOLOGIA,UNKNOWN,4
FAC. ARQUITECTURA,UNKNOWN,4
FUNDASIL,UNKNOWN,4
DROGUERIA INTI,EMPRESA,4
H. INDEPENDENCIA,UNKNOWN,4
REAL AUDIENCIA,UNKNOWN,4
ALAIN,UNKNOWN,4
IDEPRO,UNKNOWN,4
CARLA MOLINA,UNKNOWN,4
MARIE ESTOPES,UNKNOWN,4
R.A. TRAVEL AGENCI,AGENCIA,4
BODA,EVENTO,4
PRIETOS Y ASOC.,UNKNOWN,3
PROESA,UNKNOWN,3
AIRBNB,OTA,3
ALCALDIA,EMPRESA,3
NUEVATEL/VIVA,AGENCIA,3
ARQ. CARLOS,UNKNOWN,3
PK-2,UNKNOWN,3
NACHO Y SAHARA,UNKNOWN,3
BOLIVIA TOURING,AGENCIA,3
TUPIZA TOURS,AGENCIA,3
ARBITROS,UNKNOWN,3
CENT. FAML.CR,UNKNOWN,3
PETI SRL,EMPRESA,3
CESTAS,UNKNOWN,3
INTERCAMBIO,UNKNOWN,3
SOLARSA TOURS,AGENCIA,3
KALEIDOSCOPE TRAVEL,AGENCIA,3
CLUB WILSTERMANN,UNKNOWN,3
SMI,UNKNOWN,3
SAFI UNION,UNKNOWN,3
ROCHE B.S.R.L,EMPRESA,3
CBM INTERNACIONAL,UNKNOWN,3
VETERQUÍMICA,UNKNOWN,3
HOTEL PLAZA,UNKNOWN,3
CDLM,UNKNOWN,3
AMISTAD CLUB,UNKNOWN,3
ELENITA TOURS,AGENCIA,3
STAFFING LTDA,EMPRESA,3
AGENCIA DE VIAJES,AGENCIA,3
T. PROMOCIONA,UNKNOWN,3
LAS LOMAS,UNKNOWN,3
MANQ'A,UNKNOWN,3
EMB. BRITANICA,UNKNOWN,3
FRIEDRICH EBERT,UNKNOWN,3
KALEIDOSCOPE,UNKNOWN,3
DORIA MEDINA,UNKNOWN,3
ALISON PAOLA,UNKNOWN,3
ZEPELIN,UNKNOWN,3
SOC. TRANSPLANTE,UNKNOWN,3
EMATOLOGIA CBBA,UNKNOWN,3
ESC. DE NEGOCIOS,UNKNOWN,3
FREE GROUP TRAVEL,AGENCIA,2
QUIMIZA,UNKNOWN,2
PARTICULAR / C.N.S.,DIRECTO,2
PARTCULAR,UNKNOWN,2
HANSA,UNKNOWN,2
PATICULAR,UNKNOWN,2
AIR BNB,OTA,2
FRIGOR,UNKNOWN,2
CSAPEK,UNKNOWN,2
DECUBRE O. T,UNKNOWN,2
DIAMEDIC,UNKNOWN,2
SUR TRAVEL,AGENCIA,2
CLUB AMISTAD,UNKNOWN,2
AMAZONAS,UNKNOWN,2
DESCUBRE S. T.,UNKNOWN,2
SRA LESLY,UNKNOWN,2
ALIANZA SOLIDARIDAD,UNKNOWN,2
MEDICEQ,UNKNOWN,2
BOA,UNKNOWN,2
LIDERAZGO BOLIVIA,UNKNOWN,2
AMIGOS ARQUITECTO,REFERIDO,2
CAJA BANCA PRIVADA,EMPRESA,2
PETTI SRL,EMPRESA,2
BANCO MERCANTIL SANTA CRUZ,EMPRESA,2
AMIGOS DE NATALIA,REFERIDO,2
MERCANTIL SANTA CRZ,UNKNOWN,2
IMEX COMED,UNKNOWN,2
ASOCI. TENIS,UNKNOWN,2
MAGRI TOUR,AGENCIA,2
PROSEC,UNKNOWN,2
BANCO LOS ANDES SANTA CRUZ,EMPRESA,2
SOCIEDAD DE ANASTECIOLOGIA,UNKNOWN,2
AMPARO SILVA,UNKNOWN,2
CORTESIA HTL,UNKNOWN,2
EFECTIVO EN $U$,NOISE,2
SBN,UNKNOWN,2
BIOQUIMICA/FARMAC,UNKNOWN,2
ACOBOL,EMPRESA,2
PARTICULAR (USFX),DIRECTO,2
SRA. MARITZA,REFERIDO,2
INVITADOS ANDRES,UNKNOWN,2
DISEÑADOR WEB,DIRECTO,2
GAS & ELECTRICIDAD,UNKNOWN,2
FIIAAP,UNKNOWN,2
INFOCRED,UNKNOWN,2
CLUB WILSTERMAN,UNKNOWN,2
MEDICOS,UNKNOWN,2
VIAJES A LA CARTA,AGENCIA,2
ROCHE BOLIVIA,UNKNOWN,2
SOC. DE ANESTESIOLOGIA,UNKNOWN,2
POSGRADO CHUQUISACA,UNKNOWN,2
EMPRESA DE GRANOS,EMPRESA,2
CBM INITERNACIONAL,UNKNOWN,2
PAGINA WEB,DIRECTO,2
SUBGERENTE NACIONAL BDP,UNKNOWN,2
FREMEN TOURS,AGENCIA,2
BLACK FRIDAY,UNKNOWN,2
AYNINAKUNA,UNKNOWN,2
TURISMO SAUCES,AGENCIA,2
ANDAVENTURA,UNKNOWN,2
VISIÓN MUNDO,UNKNOWN,2
NACIONAL SEGUROS,EMPRESA,2
SEGUROS IPROVE,EMPRESA,2
BDC TRAVEL,AGENCIA,2
EMPRESARIO MEX,EMPRESA,2
TEXTIL Y MODA,UNKNOWN,2
DELEGACIÓN JAPON,UNKNOWN,2
